Style,Category,Number,ABV_Low,ABV_High,ABV_Avg,IBU_Low,IBU_High,IBU_Avg,SRM_Low,SRM_High,SRM_Avg,OG_Low,OG_High,OG_Avg,A_degree_P_Avg,FG_Low,FG_High,FG_Avg,"P_Avg",ADF,BU_GU,"Relative_Bitterness",RDF,Year,RE (SG),RE (P),"BU:RE
(°P)","BU:REU
(SG)","BU:FG
(°P)","BU:FGU
(SG)","BU:FG
(SG)",Ingredients
Belgian Dark Strong Ale,Trappist Ale,26D,8,12,10,20,35,27.5,12,22,17,1.075,1.11,1.093,21.93,1.01,1.024,1.017,4.33,80.26%,0.297,0.32,65.75%,2015,1.031,7.511,3.7,0.9,6.4,1.6,27,
Belgian Dubbel,Trappist Ale,26B,6,7.6,6.8,15,25,20,10,17,13.5,1.062,1.075,1.069,16.6,1.008,1.018,1.013,3.32,79.98%,0.292,0.313,65.52%,2015,1.023,5.725,3.5,0.87,6,1.5,19.7,
Belgian Golden Strong Ale,Strong Belgian Ale,25C,7.5,10.5,9,22,35,28.5,3,6,4.5,1.07,1.095,1.083,19.74,1.005,1.016,1.011,2.69,86.37%,0.345,0.392,70.75%,2015,1.024,5.773,4.9,1.21,10.6,2.7,28.2,
Belgian Pale Ale,Belgian Ale,24B,4.8,5.5,5.2,20,30,25,8,14,11,1.048,1.054,1.051,12.57,1.01,1.014,1.012,3.07,75.56%,0.49,0.504,61.90%,2015,1.019,4.788,5.2,1.31,8.1,2.1,24.7,
Belgian Tripel,Trappist Ale,26C,7.5,9.5,8.5,20,40,30,4.5,7,5.75,1.075,1.085,1.08,19.19,1.008,1.014,1.011,2.82,85.31%,0.375,0.422,69.89%,2015,1.023,5.777,5.2,1.28,10.6,2.7,29.7,
Berliner Weisse,European Sour Ale,23A,2.8,3.8,3.3,3,8,5.5,2,3,2.5,1.028,1.032,1.03,7.54,1.003,1.006,1.005,1.16,84.62%,0.183,0.205,69.32%,2015,1.009,2.314,2.4,0.6,4.7,1.2,5.5,
Best Bitter,British Bitter,11B,3.8,4.6,4.2,25,40,32.5,8,16,12,1.04,1.048,1.044,10.92,1.008,1.012,1.01,2.56,76.51%,0.739,0.766,62.68%,2015,1.016,4.074,8,2.01,12.7,3.3,32.2,
Bière de Garde,Belgian Ale,24C,6,8.5,7.3,18,28,23,6,19,12.5,1.06,1.08,1.07,16.94,1.008,1.016,1.012,3.07,81.87%,0.329,0.358,67.07%,2015,1.022,5.579,4.1,1.02,7.5,1.9,22.7,
Blonde Ale,Pale American Ale,18A,3.8,5.5,4.7,15,28,21.5,3,6,4.5,1.038,1.054,1.046,11.39,1.008,1.013,1.011,2.69,76.37%,0.467,0.484,62.56%,2015,1.017,4.264,5,1.27,8,2,21.3,
British Brown Ale,Brown British Beer,13B,4.2,5.4,4.8,20,30,25,12,22,17,1.04,1.052,1.046,11.39,1.008,1.013,1.011,2.69,76.37%,0.543,0.563,62.56%,2015,1.017,4.264,5.9,1.48,9.3,2.4,24.7,
