BJCP Style Name,BJCP Family Name,Balance: Balanced,Balance: Malty,Balance: Not Listed,Balance: Bitter,Minimum SRM,Maximum SRM,Minimum ABV,Maximum ABV,Minimum OG,Maximum OG,Minimum FG,Maximum FG,Minimum IBU,Maximum IBU,Average SRM,Average ABV,Average OG,Average FG,Average IBU,IBU To OG Ratio for Average IBU and OG
20c. Imperial Stout,American Porter and Stout,,1,,,30,40,8,12,1.075,1.115,1.018,1.03,50,90,35,10,1.095,1.024,70,0.74
21a. American IPA,IPA,,,,1,6,14,5.5,7.5,1.056,1.07,1.008,1.014,40,70,10,6.5,1.063,1.011,55,0.87
21b. Belgian IPA,IPA,,,,1,5,15,6.2,9.5,1.058,1.08,1.008,1.016,50,100,10,7.85,1.069,1.012,75,1.09
21b. Black IPA,IPA,,,,1,25,40,5.5,9,1.05,1.085,1.01,1.018,50,90,32.5,7.25,1.0675,1.014,70,1.04
21b. Brown IPA,IPA,,,,1,11,19,5.5,7,1.056,1.07,1.008,1.016,40,70,15,6.25,1.063,1.012,55,0.87
21b. Red IPA,IPA,,,,1,11,19,5.5,7.5,1.056,1.07,1.008,1.016,40,70,15,6.5,1.063,1.012,55,0.87
21b. Rye IPA,IPA,,,,1,6,14,5.5,8,1.056,1.075,1.008,1.016,50,75,10,6.75,1.0655,1.012,62.5,0.95
21b. White IPA,IPA,,,,1,5,8,5.5,7,1.056,1.065,1.01,1.016,40,70,6.5,6.25,1.0605,1.013,55,0.91
22a. Double IPA,Strong American Ale,,,,1,6,14,7.5,10,1.065,1.085,1.008,1.016,60,120,10,8.75,1.075,1.012,90,1.2
22b. American Strong Ale,Strong American Ale,,,,1,7,19,6.3,10,1.062,1.09,1.014,1.016,50,100,13,8.15,1.076,1.015,75,0.99
22c. American Barleywine,Strong American Ale,,,,1,10,19,8,12,1.08,1.12,1.016,1.016,50,100,14.5,10,1.1,1.016,75,0.75
22d. Wheatwine,Strong American Ale,1,,,,8,15,8,12,1.08,1.12,1.016,1.016,30,60,11.5,10,1.1,1.016,45,0.45
23a. Berliner Weisse,European Sour Ale,,,,,2,3,2.8,3.8,1.028,1.032,1.003,1.016,3,8,2.5,3.3,1.03,1.0095,5.5,0.18
23b. Flanders Red Ale,European Sour Ale,1,,,,10,16,4.6,6.5,1.048,1.057,1.002,1.016,10,25,13,5.55,1.0525,1.009,17.5,0.33
23c. Oud Bruin,European Sour Ale,,1,,,15,22,4,8,1.04,1.074,1.008,1.016,20,25,18.5,6,1.057,1.012,22.5,0.39
24a. Witbier,Belgian Ale,,1,,,2,4,4.5,5.5,1.044,1.052,1.008,1.016,8,20,3,5,1.048,1.012,14,0.29
24b. Belgian Pale Ale,Belgian Ale,1,,,,8,14,4.8,5.5,1.048,1.054,1.01,1.016,20,30,11,5.15,1.051,1.013,25,0.49
24c. Biere de Garde,Belgian Ale,,1,,,6,19,6,8.5,1.06,1.08,1.008,1.016,18,28,12.5,7.25,1.07,1.012,23,0.33
24d. Lambic,European Sour Ale,,,1,,3,7,5,6.5,1.04,1.054,1.001,1.016,0,10,5,5.75,1.047,1.0085,5,0.11
24e. Gueuze,European Sour Ale,,,1,,3,7,5,8,1.04,1.06,1,1.016,0,10,5,6.5,1.05,1.008,5,0.1
24f. Fruit Lambic,European Sour Ale,,,1,,3,7,5,7,1.04,1.06,1,1.016,0,10,5,6,1.05,1.008,5,0.1
25a. Belgian Blond Ale,Strong Belgian Ale,1,,,,4,7,6,7.5,1.062,1.075,1.008,1.016,15,30,5.5,6.75,1.0685,1.012,22.5,0.33
25b. Saison,Strong Belgian Ale,,,,1,5,22,3.5,9.5,1.048,1.065,1.002,1.016,20,35,13.5,6.5,1.0565,1.009,27.5,0.49
25c. Belgian Golden Strong Ale,Strong Belgian Ale,,,,1,3,6,7.5,10.5,1.07,1.095,1.005,1.016,22,35,4.5,9,1.0825,1.0105,28.5,0.35
26a. Trappist Single,Trappist Ale,,,,1,3,5,4.8,6,1.044,1.054,1.004,1.016,25,45,4,5.4,1.049,1.01,35,0.71
26b. Belgian Dubbel,Trappist Ale,,1,,,10,17,6,7.6,1.062,1.075,1.008,1.016,15,25,13.5,6.8,1.0685,1.012,20,0.29
26c. Belgian Trippel,Trappist Ale,,,,1,4.5,7,7.5,9.5,1.075,1.085,1.008,1.016,20,40,5.75,8.5,1.08,1.012,30,0.38
26d. Belgian Dark Strong Ale,Trappist Ale,,1,,,12,22,8,12,1.075,1.11,1.01,1.016,20,35,17,10,1.0925,1.013,27.5,0.3
27. Gose,Historical Beer,,,1,,3,4,4.2,4.8,1.036,1.056,1.006,1.016,5,12,3.5,4.5,1.046,1.011,8.5,0.18
27. Kentucky Common,Historical Beer,1,,,,11,20,4,5.5,1.044,1.055,1.01,1.016,15,30,15.5,4.75,1.0495,1.013,22.5,0.45
27. Lichtenhainer,Historical Beer,,,1,,3,6,3.5,4.7,1.032,1.04,1.004,1.016,5,12,4.5,4.1,1.036,1.01,8.5,0.24
27. London Brown Ale,Historical Beer,,1,,,15,20,2.8,3.6,1.033,1.038,1.012,1.016,15,20,17.5,3.2,1.0355,1.014,17.5,0.49
27. Piwo Grodziskie,Historical Beer,,,,1,3,6,2.5,3.3,1.028,1.032,1.006,1.016,20,35,4.5,2.9,1.03,1.011,27.5,0.92
27. Pre-Prohibition Lager,Historical Beer,,,,1,3,6,4.5,6,1.044,1.06,1.01,1.016,25,40,4.5,5.25,1.052,1.013,32.5,0.63
27. Pre-Prohibition Porter,Historical Beer,,1,,,18,30,4.5,6,1.046,1.06,1.01,1.016,20,30,24,5.25,1.053,1.013,25,0.47
27. Roggenbier,Historical Beer,,,1,,14,19,4.5,6,1.046,1.056,1.01,1.016,10,20,16.5,5.25,1.051,1.013,15,0.29
27. Sahti,Historical Beer,,,1,,4,22,7,11,1.076,1.12,1.016,1.016,7,15,13,9,1.098,1.016,11,0.11
